Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode
13/10/10,Low,6,261.54,0.04,Regular Air
20/02/12,Not Specified,2,6.93,0.01,Regular Air
15/07/11,High,26,2808.08,0.07,Regular Air
15/07/11,High,24,1761.4,0.09,Delivery Truck
15/07/11,High,23,160.2335,0.04,Regular Air
15/07/11,High,15,140.56,0.04,Regular Air
22/10/11,Not Specified,30,288.56,0.03,Regular Air
22/10/11,Not Specified,14,1892.848,0.01,Regular Air
02/11/11,Critical,46,2484.7455,0.1,Regular Air
17/03/11,Critical,32,3812.73,0.02,Regular Air
19/01/09,Low,41,108.15,0.09,Regular Air
03/06/09,Not Specified,42,1186.06,0.09,Regular Air
03/06/09,Not Specified,28,51.53,0.03,Express Air
17/12/10,Low,48,90.05,0.03,Regular Air
17/12/10,Low,46,7804.53,0.05,Regular Air
16/04/09,High,37,4158.1235,0.01,Regular Air
28/01/10,Medium,26,75.57,0.03,Regular Air
18/11/12,Low,4,32.72,0.09,Regular Air
07/05/12,High,3,461.89,0.05,Express Air
07/05/12,High,29,575.11,0.02,Regular Air
07/05/12,High,23,236.46,0.05,Regular Air
10/06/10,Medium,27,192.814,0.03,Regular Air
10/06/10,Medium,30,4011.65,0.05,Delivery Truck
30/04/12,Not Specified,11,1132.6,0.01,Regular Air
20/10/11,Not Specified,25,125.85,0.09,Regular Air
11/09/11,High,10,567.936,0.02,Express Air
07/08/10,Critical,14,174.89,0.06,Regular Air
